Time,Time Abs,Time diff,Move,Comment,P1 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P2 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P3 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P4 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P
1 2.25,96519,561,P4 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 2.55,96659,140,All Off,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 2.846,97080,421,P3 On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,97220,140,P1 On,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,97360,140,P2 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,97501,141,P4 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 6.2,100445,2944,"P23 Legs Off
P14 Head/Arms Off ",On,,0,0,1,1,0,1,1,0,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0,,0,0,1,1,0,1,1,0
1 6.5,100672,227,P1234 Torso Off,On,,0,0,1,1,0,0,0,0,,1,1,0,0,1,0,0,0,,1,1,0,0,1,0,0,0,BOTH_LEGS,,,,,,,,
1 6.72,101005,333,"P23 Head/Arms Off
P14 Legs Off",On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 7.15,101391,386,"P23 Arms On
P14 Legs On",On,BOTH_LEGS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_LEGS,,,,,,,,
,101426,35,"P23 P and Head On
P14 Bottom Torso On",,,0,0,1,1,0,1,0,0,,1,1,0,0,1,0,1,0,,1,1,0,0,1,0,1,0,,0,0,1,1,0,1,0,0
,101461,35,"P23 Bottom Torso On
P14 P and Head On",,,0,0,1,1,1,1,1,0,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0,,0,0,1,1,1,1,1,0
,101496,35,"P23 Legs On
P14 Arms On",,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 11.2,105491,3995,All Off,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 11.788,106052,561,P3 On,Before? (Haven't worked on this),ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,106192,140,P1 On,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,106332,140,P2 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,106473,141,P4 On,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
1 15.19,109416,2943,All Arms Off,On,,0,0,1,1,1,1,1,0,,0,0,1,1,1,1,1,0,,0,0,1,1,1,1,1,0,,0,0,1,1,1,1,1,0
,109627,211,All P and Head Off,,,0,0,1,1,0,1,0,0,,0,0,1,1,0,1,0,0,,0,0,1,1,0,1,0,0,,0,0,1,1,0,1,0,0
,109802,175,All Lower Torso Off,,BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,
,110117,315,All Legs Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 16.34,110538,421,All Flash Lights but end off,On,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,110548,10,Flash Off,10 here,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
1 17.7,111859,1311,"P13 On at ""Look","Before
-10 from this cell
-10 from prev cell",ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
